17:05:03:100	edadb700	buf: {"id":0,"jsonrpc":"2.0","result":["0x6613d44f0bfc771b13e358307064cc128057705b819fbccb08042c68c99b0df5","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ec"]}

17:05:03:100	edadb700	parse packet: 247
17:05:03:100	edadb700	ETH: job changed
17:05:03:100	edadb700	new buf size: 0
17:05:03:104	edadb700	ETH: 05/15/17-17:05:03 - New job from eu1.ethermine.org:4444
17:05:03:104	edadb700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
17:05:03:106	edadb700	ETH - Total Speed: 21.856 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
17:05:03:107	edadb700	ETH: GPU0 21.856 Mh/s
17:05:05:195	edadb700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d8529", "0x000000000000000000000000000000000000000000000000000000000214d8e2"]}

17:05:05:196	edadb700	ETH: checking pool connection...
17:05:05:196	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

17:05:05:277	edadb700	got 39 bytes
17:05:05:277	edadb700	buf: {"id":6,"jsonrpc":"2.0","result":true}

17:05:05:277	edadb700	parse packet: 38
17:05:05:277	edadb700	new buf size: 0
17:05:05:364	edadb700	got 248 bytes
17:05:05:364	edadb700	buf: {"id":3,"jsonrpc":"2.0","result":["0x6613d44f0bfc771b13e358307064cc128057705b819fbccb08042c68c99b0df5","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a0ec"]}

17:05:05:364	edadb700	parse packet: 247
17:05:05:365	edadb700	ETH: job is the same
17:05:05:365	edadb700	new buf size: 0
17:05:15:078	fdbfa740	GPU0 t=49C fan=37%
17:05:15:078	fdbfa740	em hbt: 1, fm hbt: 4, 
17:05:15:078	fdbfa740	watchdog - thread 0, hb time 153
17:05:15:078	fdbfa740	watchdog - thread 1, hb time 369
17:05:15:197	edadb700	ETH: checking pool connection...
17:05:15:197	edadb700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

