16:30:45:771	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:30:45:852	c50d8700	got 39 bytes
16:30:45:852	c50d8700	buf: {"id":6,"jsonrpc":"2.0","result":true}

16:30:45:852	c50d8700	parse packet: 38
16:30:45:852	c50d8700	new buf size: 0
16:30:45:933	c50d8700	got 248 bytes
16:30:45:933	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xde2128236ed6f2127af4aafe0638eea15af232814c4d90a967addc6a126ff009","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07b"]}

16:30:45:933	c50d8700	parse packet: 247
16:30:45:933	c50d8700	ETH: job is the same
16:30:45:933	c50d8700	new buf size: 0
16:30:54:885	d51f7740	GPU0 t=50C fan=37%
16:30:54:885	d51f7740	em hbt: 0, fm hbt: 5, 
16:30:54:885	d51f7740	watchdog - thread 0, hb time 403
16:30:54:885	d51f7740	watchdog - thread 1, hb time 187
16:30:55:772	c50d8700	ETH: checking pool connection...
16:30:55:773	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:30:55:855	c50d8700	got 248 bytes
16:30:55:855	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xde2128236ed6f2127af4aafe0638eea15af232814c4d90a967addc6a126ff009","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07b"]}

16:30:55:855	c50d8700	parse packet: 247
16:30:55:855	c50d8700	ETH: job is the same
16:30:55:855	c50d8700	new buf size: 0
16:31:05:770	c50d8700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d6e9f", "0x000000000000000000000000000000000000000000000000000000002ec382b2"]}

16:31:05:774	c50d8700	ETH: checking pool connection...
16:31:05:774	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:31:05:852	c50d8700	got 39 bytes
16:31:05:852	c50d8700	buf: {"id":6,"jsonrpc":"2.0","result":true}

16:31:05:852	c50d8700	parse packet: 38
16:31:05:852	c50d8700	new buf size: 0
16:31:05:933	c50d8700	got 248 bytes
16:31:05:933	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xde2128236ed6f2127af4aafe0638eea15af232814c4d90a967addc6a126ff009","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07b"]}

16:31:05:933	c50d8700	parse packet: 247
16:31:05:933	c50d8700	ETH: job is the same
16:31:05:933	c50d8700	new buf size: 0
16:31:06:790	c50d8700	got 248 bytes
16:31:06:790	c50d8700	buf: {"id":0,"jsonrpc":"2.0","result":["0xbf998181ee4890a1d0a990afd4bdf3e52b92629b98edaff166aeae35581dcc93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07c"]}

16:31:06:790	c50d8700	parse packet: 247
16:31:06:790	c50d8700	ETH: job changed
16:31:06:790	c50d8700	new buf size: 0
16:31:06:795	c50d8700	ETH: 05/15/17-16:31:06 - New job from eu1.ethermine.org:4444
16:31:06:795	c50d8700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
16:31:06:797	c50d8700	ETH - Total Speed: 21.853 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
16:31:06:798	c50d8700	ETH: GPU0 21.853 Mh/s
16:31:15:775	c50d8700	ETH: checking pool connection...
16:31:15:775	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:31:15:857	c50d8700	got 248 bytes
16:31:15:857	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xbf998181ee4890a1d0a990afd4bdf3e52b92629b98edaff166aeae35581dcc93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07c"]}

16:31:15:857	c50d8700	parse packet: 247
16:31:15:857	c50d8700	ETH: job is the same
16:31:15:857	c50d8700	new buf size: 0
16:31:24:922	d51f7740	GPU0 t=55C fan=41%
16:31:24:922	d51f7740	em hbt: 1, fm hbt: 12, 
16:31:24:922	d51f7740	watchdog - thread 0, hb time 184
16:31:24:922	d51f7740	watchdog - thread 1, hb time 400
16:31:25:772	c50d8700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d6fcf", "0x000000000000000000000000000000000000000000000000000000002ec382b2"]}

16:31:25:775	c50d8700	ETH: checking pool connection...
16:31:25:776	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:31:25:854	c50d8700	got 39 bytes
16:31:25:854	c50d8700	buf: {"id":6,"jsonrpc":"2.0","result":true}

16:31:25:854	c50d8700	parse packet: 38
16:31:25:854	c50d8700	new buf size: 0
16:31:25:935	c50d8700	got 248 bytes
16:31:25:935	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xbf998181ee4890a1d0a990afd4bdf3e52b92629b98edaff166aeae35581dcc93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07c"]}

16:31:25:935	c50d8700	parse packet: 247
16:31:25:936	c50d8700	ETH: job is the same
16:31:25:936	c50d8700	new buf size: 0
16:31:35:777	c50d8700	ETH: checking pool connection...
16:31:35:777	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

16:31:35:859	c50d8700	got 248 bytes
16:31:35:859	c50d8700	buf: {"id":3,"jsonrpc":"2.0","result":["0xbf998181ee4890a1d0a990afd4bdf3e52b92629b98edaff166aeae35581dcc93","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a07c"]}

16:31:35:859	c50d8700	parse packet: 247
16:31:35:859	c50d8700	ETH: job is the same
16:31:35:859	c50d8700	new buf size: 0
16:31:45:773	c50d8700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d612f", "0x000000000000000000000000000000000000000000000000000000002ec382b2"]}

16:31:45:777	c50d8700	ETH: checking pool connection...
16:31:45:778	c50d8700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

