18:37:21:418	761f2700	ETH: checking pool connection...
18:37:21:418	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:37:21:499	761f2700	got 39 bytes
18:37:21:499	761f2700	buf: {"id":6,"jsonrpc":"2.0","result":true}

18:37:21:499	761f2700	parse packet: 38
18:37:21:499	761f2700	new buf size: 0
18:37:21:603	761f2700	got 496 bytes
18:37:21:603	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x27dcbee3774541e445fc7cb28a1cef4397c04a23193c4412f5fedfbf43c81744","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25c"]}
{"id":0,"jsonrpc":"2.0","result":["0x27dcbee3774541e445fc7cb28a1cef4397c04a23193c4412f5fedfbf43c81744","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25c"]}

18:37:21:603	761f2700	parse packet: 247
18:37:21:603	761f2700	ETH: job changed
18:37:21:603	761f2700	remove first packet 248
18:37:21:603	761f2700	new buf size: 248
18:37:21:603	761f2700	parse packet: 247
18:37:21:603	761f2700	ETH: job changed
18:37:21:603	761f2700	new buf size: 0
18:37:21:609	761f2700	ETH: 05/15/17-18:37:21 - New job from eu1.ethermine.org:4444
18:37:21:609	761f2700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
18:37:21:611	761f2700	ETH - Total Speed: 21.858 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:00
18:37:21:612	761f2700	ETH: GPU0 21.858 Mh/s
18:37:31:419	761f2700	ETH: checking pool connection...
18:37:31:419	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:37:31:501	761f2700	got 248 bytes
18:37:31:501	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x27dcbee3774541e445fc7cb28a1cef4397c04a23193c4412f5fedfbf43c81744","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25c"]}

18:37:31:501	761f2700	parse packet: 247
18:37:31:501	761f2700	ETH: job is the same
18:37:31:501	761f2700	new buf size: 0
18:37:41:300	86311740	GPU0 t=57C fan=44%
18:37:41:300	86311740	em hbt: 1, fm hbt: 12, 
18:37:41:300	86311740	watchdog - thread 0, hb time 62
18:37:41:301	86311740	watchdog - thread 1, hb time 278
18:37:41:418	761f2700	send: {"id":6,"jsonrpc":"2.0","method":"eth_submitHashrate","params":["0x14d85f4", "0x00000000000000000000000000000000000000000000000000000000135400b1"]}

18:37:41:420	761f2700	ETH: checking pool connection...
18:37:41:420	761f2700	send: {"worker": "", "jsonrpc": "2.0", "params": [], "id": 3, "method": "eth_getWork"}

18:37:41:500	761f2700	got 39 bytes
18:37:41:500	761f2700	buf: {"id":6,"jsonrpc":"2.0","result":true}

18:37:41:500	761f2700	parse packet: 38
18:37:41:500	761f2700	new buf size: 0
18:37:41:581	761f2700	got 248 bytes
18:37:41:581	761f2700	buf: {"id":3,"jsonrpc":"2.0","result":["0x27dcbee3774541e445fc7cb28a1cef4397c04a23193c4412f5fedfbf43c81744","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25c"]}

18:37:41:581	761f2700	parse packet: 247
18:37:41:581	761f2700	ETH: job is the same
18:37:41:581	761f2700	new buf size: 0
18:37:41:658	761f2700	got 248 bytes
18:37:41:658	761f2700	buf: {"id":0,"jsonrpc":"2.0","result":["0x01f94843f99914f1253f792acb727bfc350416c3fba1af472f224baacf36bcd9","0x3bd437c45bff02acb2964c2f09e481e31c61a03eba0cf17d2c30cb05b1ac4d91","0x0112e0be826d694b2e62d01511f12a6061fbaec8bc02357593e70e52ba","0x38a25d"]}

18:37:41:658	761f2700	parse packet: 247
18:37:41:658	761f2700	ETH: job changed
18:37:41:658	761f2700	new buf size: 0
18:37:41:663	761f2700	ETH: 05/15/17-18:37:41 - New job from eu1.ethermine.org:4444
18:37:41:663	761f2700	target: 0x0000000112e0be82 (diff: 4000MH), epoch #123
18:37:41:665	761f2700	ETH - Total Speed: 21.857 Mh/s, Total Shares: 0, Rejected: 0, Time: 00:01
18:37:41:667	761f2700	ETH: GPU0 21.857 Mh/s
18:37:51:420	761f2700	ETH: checking pool connection...
